# Merged run metadata for plotting. One row per run.
#run:fill,time,delivered(/fb),recorded(/fb),integrated_recorded(/fb)
355862:8016,07/19/22 18:12:03,0.000792458,0.000626193,0.000626193
355863:8016,07/19/22 18:19:43,0.000840240,0.000737608,0.001363801
355870:8017,07/19/22 23:02:43,0.001749608,0.001564060,0.002927861
355871:8017,07/19/22 23:17:54,0.000167393,0.000148624,0.003076485
355872:8017,07/19/22 23:24:45,0.077862176,0.069670631,0.072747116
355892:8018,07/20/22 10:25:02,0.011272114,0.010783757,0.083530873
355912:8019,07/20/22 14:18:53,0.010012808,0.009000126,0.092530999
355913:8019,07/20/22 15:22:09,0.006321538,0.005841851,0.098372850
355921:8020,07/20/22 18:50:02,0.024471965,0.022698630,0.121071480
355933:8022,07/21/22 02:07:39,0.000694896,0.000690377,0.121761857
355942:8023,07/21/22 06:46:45,0.001449026,0.001366196,0.123128053
355988:8027,07/21/22 23:03:32,0.003434926,0.002782140,0.125910193
355989:8027,07/21/22 23:23:47,0.002277844,0.001268138,0.127178331
355998:8027,07/22/22 01:35:51,0.003075829,0.002649537,0.129827868
355999:8027,07/22/22 01:51:17,0.000774761,0.000646332,0.130474200
356004:8027,07/22/22 04:04:14,0.001415494,0.001358213,0.131832413
356005:8027,07/22/22 04:14:46,0.012561127,0.012097352,0.143929765
356043:8030,07/22/22 18:00:07,0.006828246,0.005587474,0.149517239
356071:8033,07/23/22 12:43:15,0.017433972,0.015297015,0.164814254
356074:8033,07/23/22 15:21:04,0.003176619,0.003004376,0.167818630
356075:8033,07/23/22 15:57:05,0.015143257,0.013918014,0.181736644
356076:8033,07/23/22 16:56:57,0.018658814,0.017147608,0.198884252
356077:8033,07/23/22 17:58:32,0.051936094,0.049782857,0.248667109
356135:8043,07/25/22 11:06:59,0.002884946,0.002624848,0.251291957
356309:8057,07/27/22 17:56:02,0.011790413,0.010947992,0.262239949
356316:8058,07/27/22 21:40:02,0.009481466,0.009289955,0.271529904
356322:8059,07/28/22 01:35:06,0.002279702,0.002064846,0.273594750
356323:8059,07/28/22 01:45:01,0.075836397,0.072084169,0.345678919
356371:8062,07/28/22 16:46:34,0.001844581,0.001552840,0.347231759
356375:8063,07/28/22 19:04:41,0.008817905,0.006539211,0.353770970
356378:8063,07/28/22 20:10:25,0.043237585,0.041584402,0.395355372
356381:8063,07/28/22 22:10:47,0.133362630,0.131360427,0.526715799
356383:8063,07/29/22 06:04:41,0.002908269,0.002867925,0.529583724
356385:8063,07/29/22 06:26:25,0.002650308,0.002467943,0.532051667
356386:8063,07/29/22 06:41:02,0.008822513,0.008702746,0.540754413
356426:8067,07/29/22 13:50:08,0.003115110,0.002569638,0.543324051
356428:8067,07/29/22 14:11:32,0.047755357,0.045819524,0.589143575
356433:8067,07/29/22 17:20:28,0.049664722,0.047815436,0.636959011
356434:8067,07/29/22 19:22:54,0.001950284,0.001716761,0.638675772
356435:8067,07/29/22 19:31:01,0.000596088,0.000438619,0.639114391
356446:8068,07/29/22 22:05:30,0.095720054,0.092805783,0.731920174
356523:8076,07/31/22 18:51:42,0.164037216,0.160945096,0.892865270
356531:8076,08/01/22 02:10:15,0.009119290,0.008972442,0.901837712
356563:8078,08/01/22 14:49:18,0.052941361,0.051876777,0.953714489
356568:8079,08/01/22 18:52:46,0.003411277,0.003199444,0.956913933
356569:8079,08/01/22 19:05:00,0.046474620,0.045312651,1.002226584
356570:8079,08/01/22 20:47:20,0.019518265,0.019096323,1.021322907
356576:8081,08/02/22 05:11:08,0.026779137,0.026012516,1.047335423
356578:8081,08/02/22 06:39:29,0.157224972,0.154532409,1.201867832
356580:8081,08/02/22 12:21:24,0.007879274,0.007737180,1.209605012
356582:8081,08/02/22 13:25:57,0.014402745,0.014267000,1.223872012
356614:8083,08/02/22 18:26:15,0.009273549,0.007887264,1.231759276
356615:8083,08/02/22 18:53:13,0.235157789,0.231009012,1.462768288
356619:8083,08/03/22 03:31:02,0.024261009,0.023994573,1.486762861
356810:8094,08/05/22 02:20:11,0.026112336,0.025467672,1.512230533
356811:8094,08/05/22 03:13:06,0.013371370,0.012876829,1.525107362
356812:8094,08/05/22 03:35:55,0.031002957,0.030017322,1.555124684
356813:8094,08/05/22 04:22:46,0.015021088,0.014540907,1.569665591
356814:8094,08/05/22 04:48:52,0.158955488,0.156110900,1.725776491
356815:8094,08/05/22 09:13:01,0.019544335,0.019132267,1.744908758
356824:8094,08/05/22 10:39:04,0.009670484,0.009476723,1.754385481
356908:8098,08/06/22 01:30:07,0.007645126,0.007133667,1.761519148
356919:8099,08/06/22 03:56:45,0.021980427,0.021177152,1.782696300
356937:8100,08/06/22 14:02:16,0.029646087,0.028320199,1.811016499
356946:8102,08/06/22 19:52:44,0.036294837,0.034494079,1.845510578
356947:8102,08/06/22 20:46:12,0.093513130,0.090602295,1.936112873
356948:8102,08/06/22 23:03:58,0.020836186,0.019945891,1.956058764
356949:8102,08/06/22 23:40:25,0.022015867,0.021383048,1.977441812
356951:8102,08/07/22 00:29:25,0.058692665,0.057457347,2.034899159
356954:8102,08/07/22 02:28:59,0.069321290,0.067964381,2.102863540
356955:8102,08/07/22 04:51:58,0.064559043,0.063311520,2.166175060
356956:8102,08/07/22 07:20:44,0.015088549,0.014964203,2.181139263
356968:8103,08/07/22 11:00:07,0.049077897,0.047170284,2.228309547
356969:8103,08/07/22 12:14:36,0.066967627,0.064432396,2.292741943
356970:8103,08/07/22 13:48:42,0.097226946,0.094907617,2.387649560
356998:8106,08/08/22 06:36:19,0.001659953,0.001565210,2.389214770
356999:8106,08/08/22 06:44:07,0.016468715,0.015828662,2.405043432
357000:8106,08/08/22 07:08:08,0.011401538,0.010917801,2.415961233
357001:8106,08/08/22 07:29:31,0.052590117,0.050873486,2.466834719
357079:8112,08/09/22 04:42:08,0.008066931,0.007410199,2.474244918
357080:8112,08/09/22 04:52:58,0.198352306,0.191456631,2.665701549
357081:8112,08/09/22 09:12:46,0.180206745,0.176532357,2.842233906
357101:8113,08/09/22 18:11:07,0.018001012,0.017151832,2.859385738
357102:8113,08/09/22 18:48:55,0.036305120,0.034697244,2.894082982
357104:8113,08/09/22 19:59:35,0.001309937,0.001251199,2.895334181
357106:8113,08/09/22 20:26:05,0.018185797,0.017022677,2.912356858
357112:8113,08/09/22 21:05:03,0.140533868,0.134186514,3.046543372
357268:8115,08/10/22 19:34:00,0.022928021,0.021037666,3.067581038
357271:8115,08/10/22 20:10:57,0.447671657,0.416895272,3.484476310
357328:8118,08/11/22 19:45:57,0.017976114,0.016387207,3.500863517
357329:8118,08/11/22 20:13:21,0.230485153,0.216058019,3.716921536
357330:8118,08/12/22 00:34:27,0.046027944,0.042451168,3.759372704
357331:8118,08/12/22 01:38:29,0.006488921,0.005561528,3.764934232
357332:8118,08/12/22 01:50:29,0.109845359,0.097896931,3.862831163
357333:8118,08/12/22 04:41:18,0.044838850,0.043020697,3.905851860
357401:8120,08/12/22 18:57:25,0.171966894,0.167341761,4.073193621
357406:8121,08/13/22 02:47:20,0.035216410,0.033323348,4.106516969
357438:8124,08/13/22 14:37:25,0.066695699,0.061744525,4.168261494
357440:8124,08/13/22 16:04:46,0.120011894,0.113610385,4.281871879
